type,units,agreement,disagree_n,kalpha,kalpha_lower,kalpha_upper,kappa,kappa_lower,kappa_upper
tweets,150,0.92,12,0.8136007065302093,0.7048677853394981,0.9068003532651047,0.8132780082987553,0.6895595616237815,0.9713689725441885
replies,150,0.9066666666666666,14,0.799712918660287,0.6995693779904306,0.8855502392344498,0.7990815154994261,0.6990641472471937,0.8990988837516585
